Припять; 0.1; 1; 1; 0.99; 0.01; 0; 0
Припять; 0.1; 1; 2; 0.6; 0.01; 0; 0
Припять; 0.1; 1; 3; 0.1; 0.9; 0; 0
Припять; 0.1; 1; 4; 0.01; 0.99; 0; 0
Припять; 0.1; 1; 6; 0.99; 0.01; 0; 0
Мальчишник; 0.5; 2; 1; 0.01; 0.99; 0; 0
Мальчишник; 0.5; 2; 2; 0.2; 0.6; 0; 0
Мальчишник; 0.5; 2; 3; 0.4; 0.3; 0; 0
Мальчишник; 0.5; 2; 4; 0.3; 0.05; 0; 0
Мальчишник; 0.5; 2; 5; 0.89; 0.01; 0; 0
Виноваты_звезды; 0.4; 3; 1; 0.01; 0.99; 0; 0
Виноваты_звезды; 0.4; 3; 2; 0.2; 0.6; 0; 0
Виноваты_звезды; 0.4; 3; 3; 0.7; 0.25; 0; 0
Виноваты_звезды; 0.4; 3; 4; 0.02; 0.6; 0; 0
Виноваты_звезды; 0.4; 3; 7; 0.99; 0.01; 0; 0
Горько; 0.1; 4; 1; 0.99; 0.01; 0; 0
Горько; 0.1; 4; 4; 0.89; 0.01; 0; 0
Горько; 0.1; 4; 5; 0.89; 0.01; 0; 0
